book,index,negative,positive,sentiment
Tom Sawyer,24,29,31,2
Tom Sawyer,25,19,12,-7
Tom Sawyer,26,5,18,13
Tom Sawyer,27,24,22,-2
Tom Sawyer,28,13,14,1
Tom Sawyer,29,19,22,3
Tom Sawyer,30,4,16,12
Tom Sawyer,31,17,7,-10
Tom Sawyer,32,37,25,-12
Tom Sawyer,33,29,25,-4
Tom Sawyer,34,51,11,-40
Tom Sawyer,35,22,7,-15
Tom Sawyer,36,25,11,-14
Tom Sawyer,37,29,16,-13
Tom Sawyer,38,22,10,-12
Tom Sawyer,39,22,7,-15
Tom Sawyer,40,21,16,-5
Tom Sawyer,41,43,9,-34
Tom Sawyer,42,32,13,-19
Tom Sawyer,43,25,16,-9
Tom Sawyer,44,53,27,-26
Tom Sawyer,45,27,14,-13
Tom Sawyer,46,41,22,-19
Tom Sawyer,47,25,19,-6
Tom Sawyer,48,17,23,6
Tom Sawyer,49,30,21,-9
Tom Sawyer,50,44,28,-16
Tom Sawyer,51,24,27,3
Tom Sawyer,52,27,10,-17
Tom Sawyer,53,32,18,-14
Tom Sawyer,54,27,28,1
Tom Sawyer,55,26,16,-10
Tom Sawyer,56,12,14,2
Tom Sawyer,57,52,17,-35
Tom Sawyer,58,41,32,-9
Tom Sawyer,59,25,25,0
Tom Sawyer,60,19,23,4
Tom Sawyer,61,7,19,12
Tom Sawyer,62,20,32,12
Tom Sawyer,63,23,15,-8
Tom Sawyer,64,40,20,-20
Tom Sawyer,65,25,12,-13
Tom Sawyer,66,28,17,-11
Tom Sawyer,67,37,24,-13
Tom Sawyer,68,34,34,0
Tom Sawyer,69,34,42,8
Tom Sawyer,70,31,38,7
Tom Sawyer,71,23,19,-4
Tom Sawyer,72,52,13,-39
Tom Sawyer,73,21,30,9
Tom Sawyer,74,32,14,-18
Tom Sawyer,75,24,7,-17
Tom Sawyer,76,32,26,-6
Tom Sawyer,77,9,10,1
Tom Sawyer,78,5,25,20
Tom Sawyer,79,25,18,-7
Tom Sawyer,80,14,19,5
Tom Sawyer,81,32,26,-6
Tom Sawyer,82,20,15,-5
Tom Sawyer,83,18,24,6
Tom Sawyer,84,31,16,-15
Tom Sawyer,85,18,21,3
Tom Sawyer,86,18,16,-2
Tom Sawyer,87,17,14,-3
Tom Sawyer,88,15,32,17
Tom Sawyer,89,36,27,-9
Tom Sawyer,90,31,18,-13
Tom Sawyer,91,22,15,-7
Tom Sawyer,92,22,19,-3
Tom Sawyer,93,33,17,-16
Tom Sawyer,94,18,15,-3
Tom Sawyer,95,39,15,-24
Tom Sawyer,96,30,21,-9
Tom Sawyer,97,39,14,-25
Tom Sawyer,98,18,20,2
Tom Sawyer,99,36,11,-25
Tom Sawyer,100,33,23,-10
Tom Sawyer,101,31,16,-15
Tom Sawyer,102,55,21,-34
Tom Sawyer,103,9,20,11
Tom Sawyer,104,19,18,-1
Tom Sawyer,105,13,18,5
Tom Sawyer,106,13,18,5
Tom Sawyer,107,6,24,18
Tom Sawyer,108,23,32,9
Tom Sawyer,109,35,38,3
Tom Sawyer,110,15,22,7
Tom Sawyer,111,0,3,3
